Participant,You abandoned a pull request because,"When you were unable to complete your pull request, you","If someone pick up your abandoned pull request, you would prefer to",Would you like to pick up the pull requests abandoned by others,Anything else you would like to tell us about pull request abandonment?
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,The review process usually takes ages. The feedback loop from reviewers is too long.
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,PR should NOT be abandoned
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,If I get no reply on my pr then I leave it there till someone reviewes it. ,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,Forget about it,,,"You reminded me to fix my pull request, thx"
140,The pull request was done in a totally wrong way and I'd rather close it and make a new one from scratch,,,,
141,Pull request ignored by reviewers. ,,,,
142,,Deleted the fork,,,Enforcement of pep8 style through Travis CI creates a barrier for first time contributors.
143,,,,,
144,It was taking too much of my time. Felt like going in circles of what reviewers are expecting and what I am delivering,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,"PR abandonment just a normal part of the FOSS lifecycle, but it may discourage new contributors."
157,,,,,
158,,,,,
159,,,,,
160,,,,,Many people create projects then abandon them. This is frustrating to people who want to build on those projects and suggest improvements.
161,,,,,
162,,,,,
163,,,See where it goes,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,"I do enjoy contributing to many projects, but right now I have a tight schedule with my studies, and other activities and by the time it gets over I feel very tired to work/contribute to more projects. I'll surely continue contribute to open source projects, respond to other pull requests once I able to get some time.  Contributing to pull requests help me learn a lot from other developers."
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,Closed without comment or reason,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,PR was rejected,Owners closed it,Depends on current availability,,I think there is a golden window when a volunteer and owner are willing to work on a feature together. If there is too sparse of a community or either take too long to respond then likely they have both moved on to other things and don¨¹t even remember what the pr was. I for one didn¨¹t even see issues on my os projects until i happened to look at them years later. I felt bad for ignoring them. I finally wrote them back but they were gone or ignored me. Github notification fail?  Or user setting error?  Who knows. 
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,Reviewer did not like the change,,,,"It can be hard to get changes in when people running projects don¨¹t see the usefulness, luckily it¨¹s open source so we just change it in-house"
190,,,,,
191,,,,,
192,,,,,
193,"Reviewers request was technically the minimal possible change but did not solve the actual problem, i. e. requested a work around instead of a solution for the sake of brevity",,,,
194,,Forked the repo ,,,
195,,,,,
196,,,,,
197,,,,,
198,,It was closed by maintainers. ,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,"Left a comment saying I would not be following through, and a maintainer closed it.",,,"I think having strict linting and style guides helps first time contributors focus on the code, and avoids seemingly petty nitpicks like in the rails example. It looks like the reviewers motivated their feedback with personal preference.  "
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,"I abandoned one PR because it was submitted ~3 years prior and received no response at the time. It remained open until recently, when the maintainer had interest in merging it. At that point, it was *extremely* out of date.",,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,Most of the time it happens because the author has decided to do something else with their life in my experience.
224,,,,,I am approaching this from an upstream project maintainer's perspective. We see quite a lot of valuable contributions abandoned by authors so I try to be extra conscientious of not doing this to projects with my own PRs.
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,Whether the maintainer is likely to keep ignoring the pr,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,"It takes a whole lot of effort to collaborate. I often find it easier not to collaborate on open source. I often fork repositories, fix them how I want to them to be, and use them. I will often open a pull request back into the mainline, but it's really up to them whether they want to accept it or not and I have no problem if they absorb the change however they please -- it's their code and I'm not taking responsibility for their project."
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,I closed.,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,"after working through review, it was easier to cherry pick the commits that I and the maintainers wanted to include that to fix every issue in the pull request. ",,,,
267," - Maybe I close a pull request because it seems like reviewers are not interested in the feature I have proposed (which I am just contributing upstream).   - Maybe I leave a pull request idle because we are waiting on the next major compatibility-breaking release to come around (and resolving conflicts  / fixing things doesn't even make sense till then).  - Maybe I leave a pull request idle because we are waiting for other pull requests to be merged so that the current one can be rebased and *then* updated.    - Maybe I merely forgot about the pull request because I have so many different ones that are waiting around to be reviewed/merged or which are WIPs. I could just need a reminder that it even exists, i.e. a ping.  - Maybe I leave a pull request idle because I have moved on to OSS tasks of higher priority, *but I plan on returning to them* once other features have been implemented to simplify the implementation of the PR (kind of a mix of two other reasons).   ",,"and if, for whatever reason, the other user cannot complete the new pull request they've opened, but their implementation is already overcoming more challenges than my own did, I may then also take over their pull request and bring it to the finish line if they feel unable to do so.",,
268,,,,,
269,,,,,
270,,closed it with description,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,Abandoned projects no longer maintained and the maintainer not handing off maintenance or disappearing altogether.,,Provide help as requested by the new developer and as time constraints allow,If there is a chance that picking up the pull request will help get it merged or if I can provide a significant improvement,
279,,,,,
280,,,,,
281,,,,,
282,,Wait for contributer to fix,,,
283,,,,,
284,,,,,
285,,,,,
286,,Left it there for further notice,,,
287,,,,,
288,Sometimes I just open pull requests to propose ideas and open a discussion or to expose a bug in a unit test.,,,,
289,,,,,
290,,,,,
291,,,,,
292,Usually just tasks forever for maintainers to review my pull requests.,,,,"I have not only been contributing to OSS for the last decade but also maintained a number of projects. I have encountered to distinct problems over and over again.  1. A maintainer doesn't find the time to review a pull request. Maintaining eats up a ton of time. Answering querstions, reviewing code and so forth. Usually a maintainer maintains also a bunch of projects.  2. The contributor just created a one of pull-request based on modifications they made to the library. They are using their own fork and only have limited interested moving their change upstream. Therefore, they do not respond to change requests."
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,Someone else submitted a pull request that fixed the same issue,,,,
299,Feedback from reviewers took months.,,,,
300,,,,,
301,,,,,
302,,,,,
303,,closed without comment,,,
304,Just plain forgot because reviewers were slow to respond. Other things come up in life.,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,
310,,,,,"PR abandonment should be rarely done and if done, must be handed over to someone at least"
311,,,,,
312,,,,,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,I think the more chronic problem is pull request *ignorance* by the repository owners. This occurs primarily for smaller repositories. 
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,"Target project team was overwhelmed, so I am still waiting for replies.",Wait until the project team can review it.,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,1. The pull request was opened against the wrong branch.  2. I force-pushed a change while the pull request was temporarily closed.,,,,
339,,Chillax my dude I¨¹ll get to it,,If I¨¹ve got the time,
340,,,,,
341,Technical: The pull request turned out to be much more complicated than anticipated.    Social: Reviewers were not as helpful as they could be.,intend to come back to it at some point in future.,,,
342,,,,,
343,,,,,
344,,,,,
345,"The content of the pull request did not adequately fix the problem upon further inspection, and the work to complete it essentially constitutes a new pull request",,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,There was already a (better) PR,,,,
352,,closed it without a comment describing the reason,,,
353,,,,,
354,,,,,
355,,,explain test cases,if the pull request (the idea behind the changes) are clearly documented,Most of the time abondoned pull requests result because a lack of time and/or interest
356,,,,,
357,,,,,
358,,"if technical: close, if social: commented mulitple times, updated to keep it relevant, abandoned eventually",,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,"Pull request abandonment means a lot for OSS project's health. Higher abandonment rate probably means the community is not welcoming pull requests as needed (not responding, very late review, cryptic requests, etc.)"
366,,,,,
367,,,,,
368,,,,,
369,,,,,
370,,,,,
371,,,,,
372,,,,,
373,"Project no longer actively maintained  Start using an alternative library, so no personal benefit to finish the job",,,I maintain an OSS project. I sometimes pick up abandoned PRs and take them over the finishing line. ,
374,,closed without a comment describing the reason,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,"Stringent and relatively worthless linting checks double the amount of commits required,  and generally sap all my motivation. For every commit to Ansible,  the bit tells me I have a trailing space,  so I have to delete the space and commit again. This linting can't be run locally.",wrote a comment saying i have no time and I'll come back in a few months,,,
383,,,,,
384,,,,,
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,,,,,Many times reviewers request trivial changes on style or naming. I just don't have the patience for that. I write the meat of the code and they should take the lead on cosmetic changes. Minor contributors like me don't want to invest the time to review lengthy style guides and committing guidelines. It's not worth it for one-off fixes.    And it seems like reviewers always play the duck game.
390,,,,,
391,,,,,
392,,,,,
393,Pull request format did not conform to pr template specifications ,,,,
394,,,,,
395,,,,,
396,,,,,
397,,just closed,,,
398,,I still keep track of my ¨¹abandoned¨¹ PRs,,A combination of all the ¨¹it depends¨¹,
399,,,,,
400,,,,,
401,,,,,
402,,,,,
403,,,,,
404,,,,,
405,,,,,
406,,,,,
407,,,,,
408,,,,,
409,,,,,
410,,,,Depend whether the maintainer is responsive/active,
411,,,,,
412,,,,,
413,,,,,
414,,,,,
415,,,,,
416,,,,,
417,,,,,"It doesn't happen only in OSS; I've had it happen (both sides) in corporate environments, too."
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,,,,,
423,,,,,
424,,,,,
425,,,,,
426,,,,,
427,,,,,
428,,,,,
429,,,,,
430,,,,,
431,,closed it,,,"It depends on your motivation. If it was a passing PR, you won't put in the dedication to carry out needed changes"
432,,,,,
433,,,,,
434,,,,,
435,,,,,
436,,,,,
437,"PR was closed by maintainer with no real feedback as to why. Just a canned response of ""This won't be accepted at this time""",It was closed by the maintainer,,,
438,,,,,
439,,,,,
440,,,,,
441,,,,,
442,,,,,
443,,,,,
444,,,,,
445,,,,,
446,,,I do not know how to answer this question. My response would depend on the reason that I abandoned the pull request. AT LEAST I believe i would always review the new changes.,,
447,,,,,
448,,Asked if it was to be closed (with no response it seems),The change went in more elegantly in another pr soon after mine,,
449,I just didn't feel like completing it. My plan was open source until I land my first job. ,N/A: I was able. ,Answer questions if any exist. ,,I abandoned a couple only once. The reason being that I was moving to another country and spending time with family and friends was more important than working on PRs of a project that I was just using to practice. 
450,,,,,
451,,,,,
452,,,,,
453,,,,,
454,,,,,
455,,,,,
456,,,,,
457,,,,,
458,,,,,
459,,,,,
460,,,,,
461,,,,,Sometimes reviews take too much time and other pull requests may fix the problem meanwhile. If the problem is already fixed your PR is not needed anymore.
462,,,,,"The largest problem I see from a contributor is lack of consensus about direction from the org itself. I¨¹ve contributed at least one PR where my approach was rejected, which was actually completely okay with me, but when I asked for details about the alternative approach chosen so that I could help I received no response! This can really leave one feeling like they¨¹re wasting time even bothering to help.     In another instance, I identified a problem, confirmed it with a team member, assigned it to myself and then left it for 12 hours. In that timeframe, someone fixed the problem without notifying me or reaching out. "
463,,,,,
464,,,,,
465,,,,,
466,,,,,
467,,,,,
468,,,,,
469,,,,,
470,,,,,
471,,,,,
472,,,,,
473,,,,,
474,,,,,
475,,,,,
476,,,,,"I think the most important thing is to have early feedback from reviewers, and early updates from the pull requester. The PR can easily become stalled by anyone involved not reacting in a timely manner. Also, picking up someone else¨¹s work (or cooperating on a PR) is not easy/simple enough in typical OSS systems."
477,Lack of response from reviewers even after multiple pings to get them to review the PR.,,,,
478,,,,,
479,,,,if reviewers want to get it done but the original author abandoned it,
480,,,,,
481,,,,,
482,,,,,
483,,,,,
484,,,,,
485,,,,,
486,,,,the maintainers performing their responsibilities (ie. review and/or close),"I have multiple experiences with this, in cases where the quality of a PR was not the problem, just the lack of involvements by the maintainers.    This is a serious social issue (people puts actually effort, ultimately for nothing), however, I don't think much can be done about it, as it is very simply a reflection of the real-world nature of the maintainers.    If a maintaner is a somebody who in life deludes themselves that in the future they're going to perform a task, but never will, leaving a PR open is the same phenomenon translated in the digital life.    If a maintaner is a person who can't manage handling difficult subjects with other people, in digital life they'll leave PRs open because they're afraid to hurt other people.    Both problems can be handled, and it's not even difficult, but require consciousness. In myy opinion, a MAINTAINERS_CODE_OF_CONDUCT.md should be introduced, implying that maintaners also can act irresponsibly, not only contributors.    I'm both a maintainer and a contributor, and I take PRs very seriously, so I'm aware of the related problems."
487,,,,,
488,,,,,
489,,,,,
490,,,,,
491,,,,,
492,,,,,
493,,,,,
494,,,,,
495,,,,,
496,,,,,
497,,Closed it as soon as someone reminded me of its stale status without showing interest on the PR contents,,,"Sometimes it's a matter of undesired specific required completions dictated by the project contributing guidelines, related to the desired change, like updating repository documentation, changing localization with doubtful ways on how to proceed, etc. which leads to absolute loss of motivation to make the PR acceptable (including denial by automated CI test failures)"
498,,,,,
499,,,,,
500,,,,,
501,,,,,
502,,closed it with a message that there is no feedback,,,
503,,,,,
504,,,,,
505,,,,,
506,,,,,
507,,,,,
508,Moving goal posts: a single reviewer can tack on requirements to a pull request (which other reviewers deemed acceptable) that exceed what the contributor is able to devote time to.,,,,
509,,,,,
510,,,,,
511,,,,,
512,,,,,
513,,,,,
514,,,,,"Pull request abandonment can lead to severe anxiety issues in adult developers later in life. Symptoms include ""cycling through projects,"" whereby the developer keeps shallow relationships with numerous GutHub projects. He may fear intimacy and leave a pull request before anyone has time to review it or merge it. Others may ""Sabotage PRs"" by acting irrationally like a n00b, in order to get out of the PR process before a reviewer can hurt them with their condescending comments. Yet others with PR abandonment issues can ""Cling to a PR,"" meaning they stay with a PR despite a desire to leave, because the fear of abandoning and being alone again is too powerful. "
515,,,,,
516,,,,,
517,,,,MONEY,repos suffer from lack of product management; OSS should start hiring. Period.
518,,,,,
519,,,,,
520,,,,,
521,,,,,
522,,,,,
523,"I'm tired of other projects costing me my time and wasting my time. I could not care less about the conventions another project uses, like tabs versus spaces.    I'm not going to spend read their contributors guide for one patch. It wastes my time.    I'm happy to provide an initial technical fix that may be limited in scope. But the projects need to do their own work. They need to fix up the patch to suit their own personal taste and test it in their environments.",I just close them. I don't argue about it. The project can stay broken.,,,
524,Too much legacy! It's easier to start new branch without back compatibility.,,,,
525,,,,,
526,,,,,
527,"Changes were much more complicated than anticipated and there was no clean way I could think of to solve the issue without really gross code. I would much rather take time to submit good code than a really weird workaround, especially if the feature/bugfix is not urgent or critical.",,It really depends on the circumstance but I am open to being as involved or out of it as needed/helpful.,,
528,,,,,
529,I've mostly moved on from GitHub since M$ purchase.,,,,
530,,,,,
531,,,,,
532,,,,,
533,,,,,Absent maintainers or lack of good responses from teams is the primary reason PRs get abondoned in my work.  In example trying to get responses from the general Fedora community is frequently like pulling teeth.  It has turned me off to working with them :\
534,,,,,
535,,,,,
536,,,,,It's usually because I can't get anyone to review it or give feedback
537,"Pushed with different e-mail, pushed again with amended commit, afterwards signed up for cncf in order to have the cla signed - ultimately raised a new clean PR and closed the messy one with the remark of duplicate. Clean PR got merged real quick.",,,,
538,,,,,
539,,,,,
540,,,,,
541,,,,,
542,,,,,
543,,,,,
544,,,,,
545,U,,,,
546,,,,,
547,,,,,
548,,,,,
549,,,,,
550,,,,,
551,,,,,"I try to respond to any comments from project maintainers on my PRs, or at least let them know if I won't have time to continue with the changes. Many PRs that I've submitted are still out there because no one has responded to them.    I think many people submit a pull request and then don't look at it again, or they don't see the GitHub notifications, or they don't want to go through the effort of a review process on their PR... again I try not to do this myself."
552,,,,,
553,,,,,
554,,,,,
555,,,,,
556,,,,,
557,,,I am not a possessive coder. If someone else want to take on the remaining work then 99% of the time I would just be happy to see the feature or fix make it in.,,
558,,,,,
559,,,,,
560,,,,,
561,,just closed it,,,
562,,,,,
563,,,,,
564,,,,,
565,,,,,
566,,,,,
567,,,,,
568,,,,,
569,,,,,
570,,,,,
571,,,,,
572,,,,,
573,,,,,
574,,,,,
575,,,,,
576,,,,,
577,,,,,
578,,,,,
579,,,,,
580,,,,,
581,,,,,
582,,,,,
583,,,,,
584,,,,,
585,,,,,
586,,,,,
587,,,,,
588,,,,,
589,,,,,
590,,,,,
591,,,,,
592,,,,,
593,,,,,
594,,,,,
595,,,,,
596,,,,,
597,,,,,
598,,,,,
599,,,,,
600,,,,,
601,,,,,
602,,,,,
603,,,,,
604,,,,,
605,,,,,
606,,,,,
607,,,,,
608,Often the maintainers ignore PRs,,,,
609,,,,,
610,,,,,
611,,,,,
612,,,,,
613,,,,,
614,,,,,
615,,,,,
616,,,,,
617,,,,,"The longer the period between submission and first interaction with reviewer, the more likely I am to abandon if the reviewer requests changes. I am less likely to make requested changes if I know that the reviewer may take another month to review them a second time."
618,,,,,
619,,,,,
