No.,Comments
68,"do you know who might be able to answer the PR ownership transferring? (@xxx's internship with Box has ended, so he no longer will be working on this PR and I will take it up from here.) Should I make a new PR to address review comments or is there a way to transfer ownership?"
69,@xxx I was actually waiting for @xxx to reply
70,"Frankly, I'm frustrate with this entire process. It really make be doubt about my decision to use node. How does one get their contributions reviewed? I've re-based the PR three times already. I've brought it to your attention several times. I've received no direction on what's hold this up. From what I can tell it's simply been ignored. This really is a bad way to treat contributors: ignoring them and eventually closing their issues because of ""lack of activity""."
71,Think we missed the boat on 1.7 though :/ 
72,Maybe @xxx can pick this up
73,"That¡¯s  unfortunate.  This was  a  good  change,  just  needed  to  make  sure  the  details  werecorrect.  Hopefully  someone  will  pick  this  up  again"
74,"So, here goes: I've cherry picked the original commit and added changelog and docs"
75,This had no followup after a review. Is there anyone that wants to help on this?
76,"Perhaps I'll prepare a PR for that, since it seems #xxx was abandoned. "
77,"I just implement it like someone suggested, change the interface to just like"
78,"@xxx can we merge this as is, and open another issue with the other test"
79,"There was no update for a long while, closing this therefore. @xxx please just reopen if you want to continue working on it"
80,"Does anyone have plans to follow up on this? If not, perhaps we should close the issue."
81,did you get any further with this? I'm happy to take a look and pick up the mantle if it's fallen off your radar.
82,Closing  due  to  inactivity  and  because similar improvements were made to this test in another PR that has landed
83,"If you or someone else is up for picking up that work, I'd love to have that feature too"
84,This had no followup after a review. Is there anyone that wants to help on this?
85,Has anyone worked on this recently? I might take a crack at it.
86, @xxx I'm closing this one out of inactivity and in favor of #xxx. Thank you for your work __
87,I'm going to close this out of inactivity. Our Google Summer of Code student @xxx is working to run all our tests in random order. I'm sure he will find this patch useful.
88,"I'm going to close this due to inactivity. The biggest pieces of this were merged in isolation. If you or someone else wants to take the reigns on picking the other pieces back up, feel free to open new PRs"
89,going to work on a rebase for this to make it to 5.0
90,Anyone opposed if I pick this up? Would like to see/use this in xxx 5ÿ
91, This is likely still something that should be looked at more tho. /cc @xxx
92,"I am gonna pick this up today and tomorrow during Collaborator Summit. Seems a good opportunity too get more active too and also I am responsible for the breakages. I'll cherry pick the structual changes, since everything else has move to much anyhow."
93,I am closing this due to the long inactivity and add a good first contribution label on the bug issue.
94,I'll follow up
95,I'm following up
96,Closing due to inactivity to keep our backlog clean 
97,"Thank you for your PR! Since there hasn't been any activity on this recently, we're going to close this to keep our open PR list current, but please feel free to reopen this when you have time to work on this again __"
98,"I'm going to close this out of inactivity for now, but @xxx you're of course welcome to resubmit at any time! (just trying to help clear out the queue)"
99, @ xxx is working on finishing this in the issue referenced above.
100,"Well, this has been inactive for a while. I'm going to just merge it since it seems like an improvement, even if I think we could expand the text."
101, @xxx - any volunteers to pick up the baton on this one?
102,any updates on this? We are close to the freeze and this still blocks #xxx. 
103,I sent #xxx. It includes all modifications except the codes in AudioEngine since they are needed.
104," @xxx @xxx Can you finish and merge this pull request, please?"
